user_id,timestamp,event_name,platform,channel,plan,task_count,project_id
u_04748,2024-03-01 08:01:00,signup,Android,Product Hunt,free,,
u_00744,2024-03-01 08:03:00,signup,Android,Organic,free,,
u_01840,2024-03-01 08:09:00,signup,Android,Product Hunt,paid,,
u_02517,2024-03-01 08:09:00,signup,Android,Organic,free,,
u_02979,2024-03-01 08:09:00,signup,Android,Product Hunt,free,,
u_01401,2024-03-01 08:21:00,signup,Web,Google Ads,free,,
u_00744,2024-03-01 08:23:00,project_created,Android,Organic,free,,p_1018
u_00885,2024-03-01 08:25:00,signup,Web,Organic,free,,
u_04415,2024-03-01 08:37:00,signup,Android,Organic,free,,
u_00301,2024-03-01 08:38:00,signup,iOS,Product Hunt,free,,
u_04748,2024-03-01 08:39:00,project_created,Android,Product Hunt,free,,p_4010
u_02979,2024-03-01 08:48:00,project_created,Android,Product Hunt,free,,p_1677
u_01840,2024-03-01 08:51:00,project_created,Android,Product Hunt,paid,,p_9046
u_02517,2024-03-01 08:54:00,project_created,Android,Organic,free,,p_3602
u_04167,2024-03-01 08:56:00,signup,iOS,Organic,free,,
u_00809,2024-03-01 09:12:00,signup,Web,Google Ads,free,,
u_00051,2024-03-01 09:20:00,signup,Web,Organic,free,,
u_04167,2024-03-01 09:25:00,project_created,iOS,Organic,free,,p_3101
u_04415,2024-03-01 09:39:00,project_created,Android,Organic,free,,p_4426
u_04748,2024-03-01 09:39:00,task_created,Android,Product Hunt,free,1,p_4010
u_00329,2024-03-01 09:41:00,signup,Web,Product Hunt,free,,
u_00760,2024-03-01 09:42:00,signup,Web,Google Ads,free,,
u_00652,2024-03-01 09:48:00,signup,Web,Referral,free,,
u_04220,2024-03-01 09:56:00,signup,Web,Product Hunt,free,,
u_04323,2024-03-01 10:00:00,signup,Web,Product Hunt,free,,
u_00282,2024-03-01 10:04:00,signup,Web,Organic,free,,
u_02381,2024-03-01 10:05:00,signup,Web,Referral,free,,
u_04516,2024-03-01 10:20:00,signup,Android,Google Ads,free,,
u_03725,2024-03-01 10:23:00,signup,iOS,Referral,free,,
u_03680,2024-03-01 10:24:00,signup,iOS,Organic,free,,
u_04167,2024-03-01 10:25:00,task_created,iOS,Organic,free,1,p_3101
u_00329,2024-03-01 10:26:00,project_created,Web,Product Hunt,free,,p_1296
u_04323,2024-03-01 10:26:00,project_created,Web,Product Hunt,free,,p_7437
u_03048,2024-03-01 10:27:00,signup,Android,Product Hunt,free,,
u_02381,2024-03-01 10:33:00,project_created,Web,Referral,free,,p_3257
u_01239,2024-03-01 10:48:00,signup,Android,Organic,free,,
u_03538,2024-03-01 10:50:00,signup,Android,Google Ads,free,,
u_03567,2024-03-01 10:55:00,signup,Android,Referral,free,,
u_03725,2024-03-01 10:56:00,project_created,iOS,Referral,free,,p_1595
u_04220,2024-03-01 11:02:00,project_created,Web,Product Hunt,free,,p_1217
u_01441,2024-03-01 11:06:00,signup,Web,Organic,free,,
u_00652,2024-03-01 11:08:00,project_created,Web,Referral,free,,p_3718
u_00668,2024-03-01 11:10:00,signup,Android,Referral,free,,
u_03573,2024-03-01 11:26:00,signup,Android,Google Ads,free,,
u_04876,2024-03-01 11:32:00,signup,Web,Google Ads,free,,
u_03365,2024-03-01 11:36:00,signup,iOS,Google Ads,free,,
u_00082,2024-03-01 11:45:00,signup,iOS,Google Ads,free,,
u_01441,2024-03-01 11:47:00,project_created,Web,Organic,free,,p_3316
u_04627,2024-03-01 11:50:00,signup,Web,Referral,free,,
u_01840,2024-03-01 11:51:00,task_created,Android,Product Hunt,paid,1,p_9046
u_01239,2024-03-01 12:03:00,project_created,Android,Organic,free,,p_4851
u_00668,2024-03-01 12:19:00,project_created,Android,Referral,free,,p_5651
u_00484,2024-03-01 12:40:00,signup,Web,Google Ads,free,,
u_03350,2024-03-01 12:44:00,signup,Web,Google Ads,free,,
u_00323,2024-03-01 12:49:00,signup,Android,Google Ads,free,,
u_00926,2024-03-01 12:51:00,signup,Web,Organic,free,,
u_01355,2024-03-01 12:51:00,signup,Web,Referral,paid,,
u_02920,2024-03-01 13:01:00,signup,Web,Product Hunt,free,,
u_00422,2024-03-01 13:03:00,signup,Web,Organic,free,,
u_00102,2024-03-01 13:09:00,signup,Web,Product Hunt,free,,
u_04627,2024-03-01 13:19:00,project_created,Web,Referral,free,,p_8105
u_04454,2024-03-01 13:21:00,signup,iOS,Product Hunt,free,,
u_01635,2024-03-01 13:29:00,signup,iOS,Referral,paid,,
u_03572,2024-03-01 13:31:00,signup,Android,Organic,free,,
u_02394,2024-03-01 13:44:00,signup,iOS,Organic,free,,
u_03572,2024-03-01 13:53:00,project_created,Android,Organic,free,,p_9432
u_01411,2024-03-01 13:58:00,signup,Web,Referral,free,,
u_00926,2024-03-01 13:59:00,project_created,Web,Organic,free,,p_3623
u_02920,2024-03-01 13:59:00,project_created,Web,Product Hunt,free,,p_5639
u_01355,2024-03-01 14:02:00,project_created,Web,Referral,paid,,p_1866
u_03220,2024-03-01 14:12:00,signup,Android,Google Ads,free,,
u_00102,2024-03-01 14:13:00,project_created,Web,Product Hunt,free,,p_3236
u_00390,2024-03-01 14:19:00,signup,Android,Referral,free,,
u_00668,2024-03-01 14:19:00,task_created,Android,Referral,free,1,p_5651
u_04277,2024-03-01 14:19:00,signup,Android,Google Ads,free,,
u_04374,2024-03-01 14:19:00,signup,Android,Organic,free,,
u_00241,2024-03-01 14:24:00,signup,Web,Referral,free,,
u_00422,2024-03-01 14:26:00,project_created,Web,Organic,free,,p_8538
u_04454,2024-03-01 14:30:00,project_created,iOS,Product Hunt,free,,p_5704
u_00426,2024-03-01 14:34:00,signup,iOS,Referral,free,,
u_02394,2024-03-01 14:34:00,project_created,iOS,Organic,free,,p_4747
u_03554,2024-03-01 14:35:00,signup,iOS,Google Ads,free,,
u_03819,2024-03-01 14:35:00,signup,iOS,Product Hunt,free,,
u_01635,2024-03-01 14:40:00,project_created,iOS,Referral,paid,,p_9211
u_00294,2024-03-01 14:45:00,signup,iOS,Organic,free,,
u_01411,2024-03-01 14:45:00,project_created,Web,Referral,free,,p_8905
u_02255,2024-03-01 15:01:00,signup,iOS,Referral,free,,
u_01239,2024-03-01 15:03:00,task_created,Android,Organic,free,1,p_4851
u_03016,2024-03-01 15:06:00,signup,Web,Product Hunt,free,,
u_00294,2024-03-01 15:24:00,project_created,iOS,Organic,free,,p_4585
u_01453,2024-03-01 15:24:00,signup,Web,Referral,free,,
u_00329,2024-03-01 15:26:00,task_created,Web,Product Hunt,free,1,p_1296
u_03819,2024-03-01 15:29:00,project_created,iOS,Product Hunt,free,,p_6190
u_00390,2024-03-01 15:37:00,project_created,Android,Referral,free,,p_7162
u_00231,2024-03-01 15:39:00,signup,Android,Organic,paid,,
u_00241,2024-03-01 15:39:00,project_created,Web,Referral,free,,p_7601
u_04374,2024-03-01 15:39:00,project_created,Android,Organic,free,,p_4863
u_02255,2024-03-01 15:43:00,project_created,iOS,Referral,free,,p_9872
u_02413,2024-03-01 15:52:00,signup,Web,Google Ads,free,,
u_01395,2024-03-01 15:54:00,signup,iOS,Referral,free,,
u_02920,2024-03-01 15:59:00,task_created,Web,Product Hunt,free,1,p_5639
u_01689,2024-03-01 16:00:00,signup,iOS,Google Ads,free,,
u_00231,2024-03-01 16:01:00,project_created,Android,Organic,paid,,p_9621
u_03016,2024-03-01 16:01:00,project_created,Web,Product Hunt,free,,p_2552
u_01438,2024-03-01 16:05:00,signup,Web,Google Ads,free,,
u_01453,2024-03-01 16:05:00,project_created,Web,Referral,free,,p_5366
u_04149,2024-03-01 16:05:00,signup,Web,Google Ads,free,,
u_00652,2024-03-01 16:08:00,task_created,Web,Referral,free,1,p_3718
u_02994,2024-03-01 16:23:00,signup,Android,Google Ads,free,,
u_00686,2024-03-01 16:25:00,signup,Web,Google Ads,free,,
u_03535,2024-03-01 16:28:00,signup,iOS,Product Hunt,free,,
u_02635,2024-03-01 16:30:00,signup,Web,Google Ads,free,,
u_04982,2024-03-01 16:37:00,signup,Web,Organic,free,,
u_01997,2024-03-01 16:57:00,signup,iOS,Organic,free,,
u_03501,2024-03-01 17:06:00,signup,Web,Google Ads,free,,
u_00114,2024-03-01 17:13:00,signup,Android,Google Ads,free,,
u_01909,2024-03-01 17:15:00,signup,Android,Referral,free,,
u_00744,2024-03-01 17:23:00,task_created,Android,Organic,free,1,p_1018
u_00862,2024-03-01 17:25:00,signup,Web,Product Hunt,free,,
u_01997,2024-03-01 17:29:00,project_created,iOS,Organic,free,,p_5996
u_00254,2024-03-01 17:30:00,signup,Android,Organic,free,,
u_03748,2024-03-01 17:38:00,signup,Android,Referral,free,,
u_04374,2024-03-01 17:39:00,task_created,Android,Organic,free,1,p_4863
u_01018,2024-03-01 17:42:00,signup,Android,Referral,free,,
u_02618,2024-03-01 17:48:00,signup,iOS,Referral,free,,
u_04982,2024-03-01 17:54:00,project_created,Web,Organic,free,,p_3643
